epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9022,0.98824,1.8843,1.43105,0.22905,0.33327,0.27114,0.14308,1.52723,1.75301,2.08618,0.000414519,0.000414519,0.000414519
2,168.029,1.22098,1.67092,1.61642,0.49392,0.32775,0.25351,0.1005,1.83928,2.84141,2.53081,0.000822957,0.000822957,0.000822957
3,239.806,1.26564,1.70996,1.65611,0.54589,0.4,0.29498,0.14467,1.57199,2.06149,2.16702,0.00122314,0.00122314,0.00122314
4,311.888,1.23899,1.67286,1.6335,0.52346,0.37431,0.2927,0.14744,1.53954,1.89705,2.02499,0.00121287,0.00121287,0.00121287
5,382.228,1.18985,1.63857,1.60765,0.59052,0.45338,0.40254,0.22772,1.32977,1.50417,1.88053,0.0012005,0.0012005,0.0012005
6,452.916,1.14688,1.54488,1.56471,0.65502,0.44223,0.41336,0.22042,1.49512,1.57604,2.07217,0.00118812,0.00118812,0.00118812
7,521.775,1.0842,1.50091,1.51997,0.67658,0.43536,0.42937,0.24932,1.28901,1.40908,1.83052,0.00117575,0.00117575,0.00117575
8,591.083,1.06332,1.47658,1.50118,0.54294,0.38796,0.33327,0.19471,1.23396,1.50624,1.74669,0.00116337,0.00116337,0.00116337
9,660.341,1.05267,1.4165,1.48433,0.74081,0.50105,0.51685,0.32944,1.15686,1.19012,1.69152,0.001151,0.001151,0.001151
10,729.141,1.01309,1.37857,1.47101,0.64983,0.44936,0.44529,0.27765,1.11815,1.21712,1.65966,0.00113863,0.00113863,0.00113863
11,798.712,0.98899,1.32863,1.4533,0.7323,0.52326,0.5323,0.36425,1.03794,1.19451,1.53723,0.00112625,0.00112625,0.00112625
12,867.887,0.9889,1.32381,1.44385,0.7366,0.49869,0.49287,0.30406,1.19314,1.17196,1.72425,0.00111388,0.00111388,0.00111388
13,936.854,0.96933,1.30266,1.42459,0.76988,0.52385,0.55192,0.38698,1.00578,0.99597,1.51168,0.0011015,0.0011015,0.0011015
14,1006.23,0.94988,1.28085,1.42027,0.70336,0.54285,0.54727,0.38843,0.95035,1.05589,1.45823,0.00108913,0.00108913,0.00108913
15,1074.57,0.93461,1.26552,1.40353,0.73811,0.52858,0.542,0.36103,1.01521,1.11643,1.50589,0.00107675,0.00107675,0.00107675
16,1143.09,0.9362,1.23337,1.4019,0.80799,0.53807,0.58856,0.41435,0.95592,0.93709,1.45305,0.00106437,0.00106437,0.00106437
17,1212.96,0.91577,1.21597,1.38137,0.76524,0.49216,0.51552,0.36291,0.91567,1.04562,1.43067,0.001052,0.001052,0.001052
18,1283.14,0.90287,1.2113,1.37892,0.7661,0.52241,0.55416,0.40018,0.89027,0.96187,1.39607,0.00103962,0.00103962,0.00103962
19,1352.79,0.88839,1.20417,1.37004,0.7005,0.54325,0.51645,0.34629,1.00574,1.06369,1.50805,0.00102725,0.00102725,0.00102725
20,1421.74,0.90078,1.20181,1.37368,0.69864,0.48807,0.49532,0.34138,1.00867,1.09985,1.50246,0.00101488,0.00101488,0.00101488
21,1491.47,0.87104,1.17104,1.35545,0.80835,0.54421,0.58121,0.3997,0.98674,0.93714,1.46994,0.0010025,0.0010025,0.0010025
22,1560.68,0.86341,1.15817,1.35146,0.77395,0.54376,0.56783,0.41333,0.9,0.97081,1.39922,0.000990125,0.000990125,0.000990125
23,1629.59,0.86458,1.11973,1.34619,0.76724,0.56512,0.58127,0.42745,0.86242,0.9574,1.36379,0.00097775,0.00097775,0.00097775
24,1699.22,0.84593,1.12563,1.33972,0.81229,0.53406,0.5888,0.42536,0.8692,0.93641,1.36788,0.000965375,0.000965375,0.000965375
25,1768.36,0.84725,1.12459,1.33508,0.79995,0.54863,0.58468,0.42284,0.90255,0.95117,1.37646,0.000953,0.000953,0.000953
26,1837.2,0.83483,1.10078,1.32438,0.78482,0.55909,0.58512,0.43379,0.82422,0.86913,1.32473,0.000940625,0.000940625,0.000940625
27,1906.27,0.83396,1.09872,1.32556,0.76812,0.58903,0.59468,0.44574,0.80567,0.85554,1.29375,0.00092825,0.00092825,0.00092825
28,1975.27,0.83194,1.09278,1.32284,0.76908,0.55656,0.57511,0.42447,0.82183,0.87992,1.31251,0.000915875,0.000915875,0.000915875
29,2044.69,0.82764,1.08049,1.32182,0.80699,0.57203,0.60184,0.45027,0.80035,0.84945,1.29255,0.0009035,0.0009035,0.0009035
30,2113.44,0.82012,1.07128,1.31838,0.76761,0.55851,0.57215,0.41939,0.84365,0.88156,1.33056,0.000891125,0.000891125,0.000891125
31,2182.27,0.81019,1.06559,1.30635,0.81944,0.57014,0.60679,0.45231,0.83341,0.84831,1.33923,0.00087875,0.00087875,0.00087875
32,2251.92,0.78831,1.04203,1.29955,0.81978,0.55167,0.60664,0.4563,0.78327,0.84745,1.27765,0.000866375,0.000866375,0.000866375
33,2320.77,0.78721,1.03003,1.29519,0.8038,0.56473,0.60354,0.46381,0.79577,0.86917,1.29353,0.000854,0.000854,0.000854
34,2389.85,0.78407,1.02739,1.28624,0.82815,0.57723,0.62487,0.48313,0.78745,0.82533,1.27372,0.000841625,0.000841625,0.000841625
35,2459.23,0.78408,1.02979,1.28886,0.83114,0.5454,0.63105,0.47657,0.79913,0.837,1.30203,0.00082925,0.00082925,0.00082925
36,2527.53,0.7961,1.02843,1.29972,0.8213,0.58193,0.66106,0.49993,0.75242,0.77394,1.24665,0.000816875,0.000816875,0.000816875
37,2596.72,0.76587,0.99658,1.27425,0.83233,0.58116,0.66563,0.51367,0.77099,0.78279,1.25745,0.0008045,0.0008045,0.0008045
38,2665.74,0.75522,0.9939,1.27916,0.83156,0.56536,0.63498,0.47429,0.78437,0.78567,1.27317,0.000792125,0.000792125,0.000792125
39,2734.44,0.76628,0.99134,1.27883,0.83055,0.55439,0.62314,0.46592,0.81982,0.8257,1.31496,0.00077975,0.00077975,0.00077975
40,2803.89,0.74235,0.97467,1.25888,0.83582,0.5824,0.66353,0.5197,0.75591,0.79229,1.24234,0.000767375,0.000767375,0.000767375
41,2872.69,0.76448,0.97083,1.27913,0.81848,0.586,0.63443,0.49745,0.73528,0.78488,1.22971,0.000755,0.000755,0.000755
42,2941.67,0.73184,0.97758,1.25627,0.80944,0.59472,0.64228,0.49846,0.73977,0.78469,1.23245,0.000742625,0.000742625,0.000742625
43,3011.21,0.73438,0.96458,1.25169,0.79138,0.55397,0.59744,0.45573,0.7391,0.87096,1.22586,0.00073025,0.00073025,0.00073025
44,3079.78,0.74381,0.96173,1.26339,0.81039,0.58109,0.61107,0.48063,0.73415,0.78262,1.23736,0.000717875,0.000717875,0.000717875
45,3148.69,0.73898,0.96105,1.26117,0.8562,0.58517,0.63461,0.49752,0.74368,0.73837,1.22133,0.0007055,0.0007055,0.0007055
46,3218.18,0.73045,0.91996,1.24398,0.85002,0.56956,0.67164,0.4973,0.75158,0.77671,1.23643,0.000693125,0.000693125,0.000693125
47,3287.05,0.72819,0.92732,1.24737,0.83771,0.52543,0.60945,0.47211,0.73541,0.81585,1.21631,0.00068075,0.00068075,0.00068075
48,3355.71,0.72175,0.9194,1.24099,0.84119,0.59837,0.67108,0.52048,0.70703,0.75631,1.18308,0.000668375,0.000668375,0.000668375
49,3425.06,0.72676,0.91125,1.23791,0.82534,0.61049,0.65346,0.51562,0.7074,0.72169,1.1945,0.000656,0.000656,0.000656
50,3493.24,0.72146,0.90103,1.24342,0.83191,0.58449,0.66714,0.51934,0.70881,0.70673,1.19094,0.000643625,0.000643625,0.000643625
51,3561.29,0.71755,0.90218,1.24227,0.84841,0.61147,0.6396,0.50284,0.72839,0.70273,1.20079,0.00063125,0.00063125,0.00063125
52,3630.32,0.70019,0.89425,1.22899,0.84519,0.60738,0.68112,0.52198,0.71411,0.71656,1.19666,0.000618875,0.000618875,0.000618875
53,3698.74,0.70624,0.89585,1.23499,0.8511,0.60371,0.6581,0.51912,0.70999,0.70003,1.17405,0.0006065,0.0006065,0.0006065
54,3766.82,0.70273,0.87829,1.22627,0.85456,0.61249,0.6832,0.53961,0.70577,0.69345,1.18211,0.000594125,0.000594125,0.000594125
55,3835.54,0.689,0.86776,1.22504,0.82689,0.62431,0.68005,0.52706,0.69211,0.69721,1.16619,0.00058175,0.00058175,0.00058175
